administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,browser,region,traffic_type,visitor_type,weekend,revenue
0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,May,Google Chrome,North America,Twitter,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,26,876.0,0.0,0.026,0.0,Nov,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
2,99.4,0,0.0,19,368.0,0.0396,0.052,0.0,Sep,Google Chrome,Asia,Twitter,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,20,1432.0,0.0248,0.028,1.8,Dec,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,33,694.0,0.0141,0.032,0.0,May,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
1,63.0,0,0.0,29,579.0,0.0194,0.023,0.0,Mar,Safari,North America,Google search,Returning_Visitor,-9223372036854775808,0
3,87.0,0,0.0,11,1400.0,0.0,0.022,0.0,Mar,Google Chrome,Western Europe,Google search,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,1134.0,0.0033,0.018,0.0,Dec,Safari,North America,Youtube channel,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,3,17.0,0.04,0.12,0.0,June,Microsoft Edge,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
4,15.8,0,0.0,11,340.0,0.0,0.016,0.0,Aug,Microsoft Edge,South America,Instagram Page,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,Dec,Mozilla Firefox,Northern Africa,Affiliate marketing,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,57,1955.0,0.0381,0.054,0.0,May,Google Chrome,Southern Africa,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,42,1426.0,0.0,0.054,0.0,May,Safari,South America,Google search,Returning_Visitor,-9223372036854775808,0
4,149.25,0,0.0,27,1091.0,0.0,0.01,89.7,Mar,Google Chrome,South America,Instagram ads,Returning_Visitor,-9223372036854775808,1
2,129.75,0,0.0,13,426.0,0.0125,0.038,0.0,Nov,Google Chrome,Asia,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,Nov,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,-9223372036854775808,0
3,350.2,0,0.0,34,1570.0,0.0,0.018,21.7,May,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,1
0,0.0,0,0.0,7,449.0,0.0,0.033,0.0,Mar,Safari,South America,Google search,Returning_Visitor,-9223372036854775808,0
3,26.0,4,320.0,59,2448.0,0.0029,0.019,0.0,Dec,Google Chrome,Southern Africa,Google search,Returning_Visitor,-9223372036854775808,0
4,6.0,2,13.5,41,1396.0,0.0,0.016,0.0,May,Mozilla Firefox,Africa,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,14,1368.0,0.0,0.038,0.0,May,Samsung Internet,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
0,6.0,0,0.0,14,1017.0,0.0,0.002,0.0,Dec,Safari,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
1,85.96666667,0,0.0,18,1073.0,0.0,0.014,0.0,Dec,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,23,823.0,0.0048,0.014,0.0,Mar,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,36,1038.0,0.0194,0.015,0.0,May,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
2,30.0,0,0.0,2,34.0,0.0,0.013,0.0,Dec,Sogou Explorer,Northern Africa,Tik Tok ads,Other,-9223372036854775808,0
3,11.0,0,0.0,25,1418.0,0.0048,0.024,0.0,Dec,Opera,North America,Facebook ads,Returning_Visitor,-9223372036854775808,0
2,1.0,0,0.0,11,321.0,0.0,0.011,0.0,May,Mozilla Firefox,North America,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,2,22.0,0.0,0.1,0.0,Dec,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
1,10.0,5,1594.0,30,769.0,0.0138,0.022,0.0,Nov,Safari,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
4,76.255,0,0.0,11,113.0,0.0253,0.063,0.0,Sep,Safari,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,29,708.0,0.0071,0.035,0.0,May,Google Chrome,Africa,Instagram ads,Returning_Visitor,-9223372036854775808,0
2,6.0,0,0.0,8,187.0,0.0119,0.046,0.0,May,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
4,64.0,0,0.0,14,453.0,0.0,0.012,0.0,Dec,Microsoft Edge,Western Europe,Bing search,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,3,644.0,0.0667,0.089,0.0,May,Google Chrome,North America,Twitter,Returning_Visitor,-9223372036854775808,0
4,30.0,0,0.0,19,1709.0,0.0,0.011,0.0,May,Safari,North America,Google search,New_Visitor,-9223372036854775808,0
1,0.0,0,0.0,1,19.0,0.0,0.1,0.0,Mar,Safari,Western Europe,Instagram ads,Returning_Visitor,-9223372036854775808,0
6,68.5,2,66.0,37,820.0,0.02,0.043,0.0,May,Google Chrome,North America,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,10,820.0,0.0,0.067,0.0,May,Google Chrome,Southern Africa,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,7,162.0,0.0587,0.121,0.0,May,Google Chrome,North America,Youtube ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,8,309.0,0.0,0.024,0.0,Oct,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,45,782.0,0.0075,0.019,14.1,Dec,Google Chrome,Western Europe,Google search,Returning_Visitor,-9223372036854775808,0
1,0.0,0,0.0,3,88.0,0.0,0.017,0.0,Mar,Google Chrome,Oceania,Google search,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,946.0,0.0221,0.078,0.0,June,Google Chrome,Asia,Instagram ads,Returning_Visitor,-9223372036854775808,0
1,0.0,0,0.0,21,931.0,0.0,0.006,0.0,Oct,Mozilla Firefox,South America,Bing search,Returning_Visitor,-9223372036854775808,0
0,0.0,2,35.5,25,1672.0,0.0,0.004,0.0,May,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,23,527.0,0.0044,0.029,53.4,May,Google Chrome,South America,Twitter,Returning_Visitor,-9223372036854775808,1
7,6.0,0,0.0,16,591.0,0.0083,0.001,0.0,Jul,Safari,North America,Google search,New_Visitor,-9223372036854775808,0
0,0.0,0,0.0,9,38.0,0.0,0.045,0.0,Mar,Google Chrome,Asia,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,12,385.0,0.0,0.02,0.0,Mar,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,-9223372036854775808,0
6,65.3,4,22.4,210,586.0,0.0193,0.036,0.0,Sep,Google Chrome,South America,Youtube ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,18,266.0,0.0167,0.025,0.0,Nov,Yandex,Southern Africa,Google search,Returning_Visitor,-9223372036854775808,0
1,56.0,0,0.0,24,1287.0,0.0,0.016,24.3,May,Safari,Asia,Bing search,Returning_Visitor,-9223372036854775808,1
1,3.0,0,0.0,20,362.0,0.0,0.016,0.0,Oct,Safari,North America,Google search,New_Visitor,-9223372036854775808,0
4,318.6,0,0.0,62,1526.0,0.0053,0.009,0.0,Oct,Google Chrome,North America,Instagram ads,Returning_Visitor,-9223372036854775808,0
1,0.0,0,0.0,30,586.0,0.0,0.005,40.2,May,Google Chrome,North America,Instagram Page,New_Visitor,-9223372036854775808,1
12,108.2727273,1,55.0,50,2402.0,0.0045,0.013,14.3,May,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,-9223372036854775808,0
0,0.0,0,0.0,14,277.0,0.0,0.003,0.0,Jul,Safari,North America,Google search,Returning_Visitor,-9223372036854775808,0
